Customer ID,total_spend,purchase_frequency,avg_order_value,discounted_spend,promo_code_orders,discount_rate,promo_order_ratio,frequency_loyalty_score,frequency_loyalty_segment,revenue_loyalty_score,revenue_loyalty_segment,Review Rating,promo_dependency_segment,is_ideal_customer
39,37,1,37.0,37,1,1.0,1.0,1,Single Frequency,37,Low Revenue,3.8,High Promo Dependency,False
40,60,1,60.0,60,1,1.0,1.0,1,Single Frequency,60,Medium Revenue,4.2,High Promo Dependency,False
41,76,1,76.0,76,1,1.0,1.0,1,Single Frequency,76,High Revenue,4.6,High Promo Dependency,False
42,39,1,39.0,39,1,1.0,1.0,1,Single Frequency,39,Low Revenue,4.5,High Promo Dependency,False
43,100,1,100.0,100,1,1.0,1.0,1,Single Frequency,100,Very High Revenue,4.1,High Promo Dependency,False
44,69,1,69.0,69,1,1.0,1.0,1,Single Frequency,69,High Revenue,3.7,High Promo Dependency,False
45,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,4.6,High Promo Dependency,False
46,21,1,21.0,21,1,1.0,1.0,1,Single Frequency,21,Low Revenue,2.9,High Promo Dependency,False
47,43,1,43.0,43,1,1.0,1.0,1,Single Frequency,43,Medium Revenue,2.9,High Promo Dependency,False
48,54,1,54.0,54,1,1.0,1.0,1,Single Frequency,54,Medium Revenue,4.5,High Promo Dependency,False
49,55,1,55.0,55,1,1.0,1.0,1,Single Frequency,55,Medium Revenue,2.7,High Promo Dependency,False
50,30,1,30.0,30,1,1.0,1.0,1,Single Frequency,30,Low Revenue,4.6,High Promo Dependency,False
51,28,1,28.0,28,1,1.0,1.0,1,Single Frequency,28,Low Revenue,3.8,High Promo Dependency,False
52,59,1,59.0,59,1,1.0,1.0,1,Single Frequency,59,Medium Revenue,4.7,High Promo Dependency,False
53,20,1,20.0,20,1,1.0,1.0,1,Single Frequency,20,Low Revenue,2.6,High Promo Dependency,False
54,24,1,24.0,24,1,1.0,1.0,1,Single Frequency,24,Low Revenue,3.9,High Promo Dependency,False
55,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,4.2,High Promo Dependency,False
56,28,1,28.0,28,1,1.0,1.0,1,Single Frequency,28,Low Revenue,3.0,High Promo Dependency,False
57,73,1,73.0,73,1,1.0,1.0,1,Single Frequency,73,High Revenue,4.7,High Promo Dependency,False
58,64,1,64.0,64,1,1.0,1.0,1,Single Frequency,64,High Revenue,4.4,High Promo Dependency,False
59,54,1,54.0,54,1,1.0,1.0,1,Single Frequency,54,Medium Revenue,4.2,High Promo Dependency,False
60,79,1,79.0,79,1,1.0,1.0,1,Single Frequency,79,High Revenue,4.6,High Promo Dependency,False
61,37,1,37.0,37,1,1.0,1.0,1,Single Frequency,37,Low Revenue,4.0,High Promo Dependency,False
62,68,1,68.0,68,1,1.0,1.0,1,Single Frequency,68,High Revenue,4.7,High Promo Dependency,False
63,21,1,21.0,21,1,1.0,1.0,1,Single Frequency,21,Low Revenue,3.8,High Promo Dependency,False
64,79,1,79.0,79,1,1.0,1.0,1,Single Frequency,79,High Revenue,2.7,High Promo Dependency,False
65,83,1,83.0,83,1,1.0,1.0,1,Single Frequency,83,Very High Revenue,4.8,High Promo Dependency,False
66,36,1,36.0,36,1,1.0,1.0,1,Single Frequency,36,Low Revenue,4.8,High Promo Dependency,False
67,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,4.7,High Promo Dependency,False
68,33,1,33.0,33,1,1.0,1.0,1,Single Frequency,33,Low Revenue,4.4,High Promo Dependency,False
69,46,1,46.0,46,1,1.0,1.0,1,Single Frequency,46,Medium Revenue,3.9,High Promo Dependency,False
70,70,1,70.0,70,1,1.0,1.0,1,Single Frequency,70,High Revenue,4.4,High Promo Dependency,False
71,29,1,29.0,29,1,1.0,1.0,1,Single Frequency,29,Low Revenue,4.2,High Promo Dependency,False
72,48,1,48.0,48,1,1.0,1.0,1,Single Frequency,48,Medium Revenue,2.9,High Promo Dependency,False
73,26,1,26.0,26,1,1.0,1.0,1,Single Frequency,26,Low Revenue,2.9,High Promo Dependency,False
74,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,2.7,High Promo Dependency,False
75,58,1,58.0,58,1,1.0,1.0,1,Single Frequency,58,Medium Revenue,4.5,High Promo Dependency,False
76,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,2.7,High Promo Dependency,False
77,43,1,43.0,43,1,1.0,1.0,1,Single Frequency,43,Medium Revenue,4.2,High Promo Dependency,False
78,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,3.3,High Promo Dependency,False
79,91,1,91.0,91,1,1.0,1.0,1,Single Frequency,91,Very High Revenue,4.7,High Promo Dependency,False
80,96,1,96.0,96,1,1.0,1.0,1,Single Frequency,96,Very High Revenue,2.6,High Promo Dependency,False
81,72,1,72.0,72,1,1.0,1.0,1,Single Frequency,72,High Revenue,3.8,High Promo Dependency,False
82,96,1,96.0,96,1,1.0,1.0,1,Single Frequency,96,Very High Revenue,2.6,High Promo Dependency,False
83,28,1,28.0,28,1,1.0,1.0,1,Single Frequency,28,Low Revenue,4.0,High Promo Dependency,False
84,40,1,40.0,40,1,1.0,1.0,1,Single Frequency,40,Medium Revenue,4.1,High Promo Dependency,False
85,32,1,32.0,32,1,1.0,1.0,1,Single Frequency,32,Low Revenue,4.4,High Promo Dependency,False
86,95,1,95.0,95,1,1.0,1.0,1,Single Frequency,95,Very High Revenue,4.5,High Promo Dependency,False
87,41,1,41.0,41,1,1.0,1.0,1,Single Frequency,41,Medium Revenue,3.7,High Promo Dependency,False
88,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,3.7,High Promo Dependency,False
89,47,1,47.0,47,1,1.0,1.0,1,Single Frequency,47,Medium Revenue,3.5,High Promo Dependency,False
90,83,1,83.0,83,1,1.0,1.0,1,Single Frequency,83,Very High Revenue,3.6,High Promo Dependency,False
91,48,1,48.0,48,1,1.0,1.0,1,Single Frequency,48,Medium Revenue,2.9,High Promo Dependency,False
92,99,1,99.0,99,1,1.0,1.0,1,Single Frequency,99,Very High Revenue,4.6,High Promo Dependency,False
93,87,1,87.0,87,1,1.0,1.0,1,Single Frequency,87,Very High Revenue,4.4,High Promo Dependency,False
94,62,1,62.0,62,1,1.0,1.0,1,Single Frequency,62,High Revenue,4.5,High Promo Dependency,False
95,76,1,76.0,76,1,1.0,1.0,1,Single Frequency,76,High Revenue,4.6,High Promo Dependency,False
96,100,1,100.0,100,1,1.0,1.0,1,Single Frequency,100,Very High Revenue,3.8,High Promo Dependency,False
97,73,1,73.0,73,1,1.0,1.0,1,Single Frequency,73,High Revenue,3.8,High Promo Dependency,False
98,92,1,92.0,92,1,1.0,1.0,1,Single Frequency,92,Very High Revenue,4.8,High Promo Dependency,False
99,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,2.6,High Promo Dependency,False
100,40,1,40.0,40,1,1.0,1.0,1,Single Frequency,40,Medium Revenue,3.7,High Promo Dependency,False
101,98,1,98.0,98,1,1.0,1.0,1,Single Frequency,98,Very High Revenue,2.7,High Promo Dependency,False
102,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,4.6,High Promo Dependency,False
103,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,4.8,High Promo Dependency,False
104,89,1,89.0,89,1,1.0,1.0,1,Single Frequency,89,Very High Revenue,4.0,High Promo Dependency,False
105,24,1,24.0,24,1,1.0,1.0,1,Single Frequency,24,Low Revenue,4.4,High Promo Dependency,False
106,96,1,96.0,96,1,1.0,1.0,1,Single Frequency,96,Very High Revenue,3.6,High Promo Dependency,False
107,35,1,35.0,35,1,1.0,1.0,1,Single Frequency,35,Low Revenue,3.7,High Promo Dependency,False
108,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,3.1,High Promo Dependency,False
109,79,1,79.0,79,1,1.0,1.0,1,Single Frequency,79,High Revenue,3.4,High Promo Dependency,False
110,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,2.6,High Promo Dependency,False
111,26,1,26.0,26,1,1.0,1.0,1,Single Frequency,26,Low Revenue,4.0,High Promo Dependency,False
112,75,1,75.0,75,1,1.0,1.0,1,Single Frequency,75,High Revenue,5.0,High Promo Dependency,False
113,65,1,65.0,65,1,1.0,1.0,1,Single Frequency,65,High Revenue,4.3,High Promo Dependency,False
114,54,1,54.0,54,1,1.0,1.0,1,Single Frequency,54,Medium Revenue,3.1,High Promo Dependency,False
115,95,1,95.0,95,1,1.0,1.0,1,Single Frequency,95,Very High Revenue,3.7,High Promo Dependency,False
116,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,3.8,High Promo Dependency,False
117,86,1,86.0,86,1,1.0,1.0,1,Single Frequency,86,Very High Revenue,3.4,High Promo Dependency,False
118,32,1,32.0,32,1,1.0,1.0,1,Single Frequency,32,Low Revenue,4.6,High Promo Dependency,False
119,45,1,45.0,45,1,1.0,1.0,1,Single Frequency,45,Medium Revenue,4.8,High Promo Dependency,False
120,76,1,76.0,76,1,1.0,1.0,1,Single Frequency,76,High Revenue,4.3,High Promo Dependency,False
121,84,1,84.0,84,1,1.0,1.0,1,Single Frequency,84,Very High Revenue,4.0,High Promo Dependency,False
122,72,1,72.0,72,1,1.0,1.0,1,Single Frequency,72,High Revenue,4.2,High Promo Dependency,False
123,40,1,40.0,40,1,1.0,1.0,1,Single Frequency,40,Medium Revenue,4.8,High Promo Dependency,False
124,89,1,89.0,89,1,1.0,1.0,1,Single Frequency,89,Very High Revenue,3.1,High Promo Dependency,False
125,86,1,86.0,86,1,1.0,1.0,1,Single Frequency,86,Very High Revenue,3.1,High Promo Dependency,False
126,54,1,54.0,54,1,1.0,1.0,1,Single Frequency,54,Medium Revenue,3.6,High Promo Dependency,False
127,36,1,36.0,36,1,1.0,1.0,1,Single Frequency,36,Low Revenue,3.9,High Promo Dependency,False
128,89,1,89.0,89,1,1.0,1.0,1,Single Frequency,89,Very High Revenue,4.8,High Promo Dependency,False
129,32,1,32.0,32,1,1.0,1.0,1,Single Frequency,32,Low Revenue,4.7,High Promo Dependency,False
130,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,4.2,High Promo Dependency,False
131,39,1,39.0,39,1,1.0,1.0,1,Single Frequency,39,Low Revenue,3.7,High Promo Dependency,False
132,29,1,29.0,29,1,1.0,1.0,1,Single Frequency,29,Low Revenue,3.9,High Promo Dependency,False
133,58,1,58.0,58,1,1.0,1.0,1,Single Frequency,58,Medium Revenue,4.7,High Promo Dependency,False
134,65,1,65.0,65,1,1.0,1.0,1,Single Frequency,65,High Revenue,2.5,High Promo Dependency,False
135,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,4.9,High Promo Dependency,False
136,81,1,81.0,81,1,1.0,1.0,1,Single Frequency,81,High Revenue,4.1,High Promo Dependency,False
137,86,1,86.0,86,1,1.0,1.0,1,Single Frequency,86,Very High Revenue,3.3,High Promo Dependency,False
138,43,1,43.0,43,1,1.0,1.0,1,Single Frequency,43,Medium Revenue,4.7,High Promo Dependency,False
139,29,1,29.0,29,1,1.0,1.0,1,Single Frequency,29,Low Revenue,4.4,High Promo Dependency,False
140,95,1,95.0,95,1,1.0,1.0,1,Single Frequency,95,Very High Revenue,3.8,High Promo Dependency,False
141,28,1,28.0,28,1,1.0,1.0,1,Single Frequency,28,Low Revenue,3.9,High Promo Dependency,False
142,46,1,46.0,46,1,1.0,1.0,1,Single Frequency,46,Medium Revenue,4.9,High Promo Dependency,False
143,58,1,58.0,58,1,1.0,1.0,1,Single Frequency,58,Medium Revenue,3.1,High Promo Dependency,False
144,48,1,48.0,48,1,1.0,1.0,1,Single Frequency,48,Medium Revenue,2.7,High Promo Dependency,False
145,43,1,43.0,43,1,1.0,1.0,1,Single Frequency,43,Medium Revenue,3.2,High Promo Dependency,False
146,95,1,95.0,95,1,1.0,1.0,1,Single Frequency,95,Very High Revenue,4.5,High Promo Dependency,False
147,30,1,30.0,30,1,1.0,1.0,1,Single Frequency,30,Low Revenue,4.0,High Promo Dependency,False
148,64,1,64.0,64,1,1.0,1.0,1,Single Frequency,64,High Revenue,3.5,High Promo Dependency,False
149,90,1,90.0,90,1,1.0,1.0,1,Single Frequency,90,Very High Revenue,2.6,High Promo Dependency,False
150,76,1,76.0,76,1,1.0,1.0,1,Single Frequency,76,High Revenue,3.2,High Promo Dependency,False
151,96,1,96.0,96,1,1.0,1.0,1,Single Frequency,96,Very High Revenue,4.9,High Promo Dependency,False
152,47,1,47.0,47,1,1.0,1.0,1,Single Frequency,47,Medium Revenue,4.5,High Promo Dependency,False
153,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,4.3,High Promo Dependency,False
154,55,1,55.0,55,1,1.0,1.0,1,Single Frequency,55,Medium Revenue,3.2,High Promo Dependency,False
155,98,1,98.0,98,1,1.0,1.0,1,Single Frequency,98,Very High Revenue,3.6,High Promo Dependency,False
156,77,1,77.0,77,1,1.0,1.0,1,Single Frequency,77,High Revenue,4.3,High Promo Dependency,False
157,26,1,26.0,26,1,1.0,1.0,1,Single Frequency,26,Low Revenue,4.0,High Promo Dependency,False
158,68,1,68.0,68,1,1.0,1.0,1,Single Frequency,68,High Revenue,3.0,High Promo Dependency,False
159,73,1,73.0,73,1,1.0,1.0,1,Single Frequency,73,High Revenue,4.1,High Promo Dependency,False
160,27,1,27.0,27,1,1.0,1.0,1,Single Frequency,27,Low Revenue,3.8,High Promo Dependency,False
161,23,1,23.0,23,1,1.0,1.0,1,Single Frequency,23,Low Revenue,4.6,High Promo Dependency,False
162,49,1,49.0,49,1,1.0,1.0,1,Single Frequency,49,Medium Revenue,3.0,High Promo Dependency,False
163,74,1,74.0,74,1,1.0,1.0,1,Single Frequency,74,High Revenue,3.0,High Promo Dependency,False
164,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,3.4,High Promo Dependency,False
165,65,1,65.0,65,1,1.0,1.0,1,Single Frequency,65,High Revenue,2.6,High Promo Dependency,False
166,60,1,60.0,60,1,1.0,1.0,1,Single Frequency,60,Medium Revenue,2.8,High Promo Dependency,False
167,31,1,31.0,31,1,1.0,1.0,1,Single Frequency,31,Low Revenue,4.0,High Promo Dependency,False
168,27,1,27.0,27,1,1.0,1.0,1,Single Frequency,27,Low Revenue,4.0,High Promo Dependency,False
169,80,1,80.0,80,1,1.0,1.0,1,Single Frequency,80,High Revenue,3.0,High Promo Dependency,False
170,30,1,30.0,30,1,1.0,1.0,1,Single Frequency,30,Low Revenue,3.3,High Promo Dependency,False
171,25,1,25.0,25,1,1.0,1.0,1,Single Frequency,25,Low Revenue,2.6,High Promo Dependency,False
172,35,1,35.0,35,1,1.0,1.0,1,Single Frequency,35,Low Revenue,3.6,High Promo Dependency,False
173,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,3.9,High Promo Dependency,False
174,46,1,46.0,46,1,1.0,1.0,1,Single Frequency,46,Medium Revenue,3.4,High Promo Dependency,False
175,35,1,35.0,35,1,1.0,1.0,1,Single Frequency,35,Low Revenue,3.5,High Promo Dependency,False
176,86,1,86.0,86,1,1.0,1.0,1,Single Frequency,86,Very High Revenue,2.8,High Promo Dependency,False
177,81,1,81.0,81,1,1.0,1.0,1,Single Frequency,81,High Revenue,2.7,High Promo Dependency,False
178,42,1,42.0,42,1,1.0,1.0,1,Single Frequency,42,Medium Revenue,3.7,High Promo Dependency,False
179,43,1,43.0,43,1,1.0,1.0,1,Single Frequency,43,Medium Revenue,4.3,High Promo Dependency,False
180,31,1,31.0,31,1,1.0,1.0,1,Single Frequency,31,Low Revenue,4.9,High Promo Dependency,False
181,81,1,81.0,81,1,1.0,1.0,1,Single Frequency,81,High Revenue,3.3,High Promo Dependency,False
182,61,1,61.0,61,1,1.0,1.0,1,Single Frequency,61,High Revenue,4.7,High Promo Dependency,False
183,96,1,96.0,96,1,1.0,1.0,1,Single Frequency,96,Very High Revenue,2.8,High Promo Dependency,False
184,29,1,29.0,29,1,1.0,1.0,1,Single Frequency,29,Low Revenue,3.6,High Promo Dependency,False
185,33,1,33.0,33,1,1.0,1.0,1,Single Frequency,33,Low Revenue,3.0,High Promo Dependency,False
186,32,1,32.0,32,1,1.0,1.0,1,Single Frequency,32,Low Revenue,4.5,High Promo Dependency,False
187,56,1,56.0,56,1,1.0,1.0,1,Single Frequency,56,Medium Revenue,2.9,High Promo Dependency,False
188,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,3.3,High Promo Dependency,False
189,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,3.1,High Promo Dependency,False
190,82,1,82.0,82,1,1.0,1.0,1,Single Frequency,82,Very High Revenue,4.4,High Promo Dependency,False
191,70,1,70.0,70,1,1.0,1.0,1,Single Frequency,70,High Revenue,3.0,High Promo Dependency,False
192,76,1,76.0,76,1,1.0,1.0,1,Single Frequency,76,High Revenue,3.9,High Promo Dependency,False
193,29,1,29.0,29,1,1.0,1.0,1,Single Frequency,29,Low Revenue,2.9,High Promo Dependency,False
194,100,1,100.0,100,1,1.0,1.0,1,Single Frequency,100,Very High Revenue,3.0,High Promo Dependency,False
195,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,3.1,High Promo Dependency,False
196,25,1,25.0,25,1,1.0,1.0,1,Single Frequency,25,Low Revenue,4.3,High Promo Dependency,False
197,88,1,88.0,88,1,1.0,1.0,1,Single Frequency,88,Very High Revenue,3.9,High Promo Dependency,False
198,78,1,78.0,78,1,1.0,1.0,1,Single Frequency,78,High Revenue,3.2,High Promo Dependency,False
199,45,1,45.0,45,1,1.0,1.0,1,Single Frequency,45,Medium Revenue,4.8,High Promo Dependency,False
200,73,1,73.0,73,1,1.0,1.0,1,Single Frequency,73,High Revenue,3.8,High Promo Dependency,False
201,61,1,61.0,61,1,1.0,1.0,1,Single Frequency,61,High Revenue,3.3,High Promo Dependency,False
202,22,1,22.0,22,1,1.0,1.0,1,Single Frequency,22,Low Revenue,4.3,High Promo Dependency,False
203,38,1,38.0,38,1,1.0,1.0,1,Single Frequency,38,Low Revenue,2.7,High Promo Dependency,False
204,38,1,38.0,38,1,1.0,1.0,1,Single Frequency,38,Low Revenue,3.2,High Promo Dependency,False
205,100,1,100.0,100,1,1.0,1.0,1,Single Frequency,100,Very High Revenue,4.0,High Promo Dependency,False
206,64,1,64.0,64,1,1.0,1.0,1,Single Frequency,64,High Revenue,3.0,High Promo Dependency,False
207,55,1,55.0,55,1,1.0,1.0,1,Single Frequency,55,Medium Revenue,4.2,High Promo Dependency,False
208,91,1,91.0,91,1,1.0,1.0,1,Single Frequency,91,Very High Revenue,2.9,High Promo Dependency,False
209,38,1,38.0,38,1,1.0,1.0,1,Single Frequency,38,Low Revenue,4.1,High Promo Dependency,False
210,97,1,97.0,97,1,1.0,1.0,1,Single Frequency,97,Very High Revenue,3.2,High Promo Dependency,False
211,22,1,22.0,22,1,1.0,1.0,1,Single Frequency,22,Low Revenue,3.0,High Promo Dependency,False
212,92,1,92.0,92,1,1.0,1.0,1,Single Frequency,92,Very High Revenue,4.2,High Promo Dependency,False
213,84,1,84.0,84,1,1.0,1.0,1,Single Frequency,84,Very High Revenue,4.2,High Promo Dependency,False
214,93,1,93.0,93,1,1.0,1.0,1,Single Frequency,93,Very High Revenue,4.4,High Promo Dependency,False
215,50,1,50.0,50,1,1.0,1.0,1,Single Frequency,50,Medium Revenue,4.2,High Promo Dependency,False
216,64,1,64.0,64,1,1.0,1.0,1,Single Frequency,64,High Revenue,2.8,High Promo Dependency,False
217,61,1,61.0,61,1,1.0,1.0,1,Single Frequency,61,High Revenue,3.7,High Promo Dependency,False
218,48,1,48.0,48,1,1.0,1.0,1,Single Frequency,48,Medium Revenue,3.5,High Promo Dependency,False
219,45,1,45.0,45,1,1.0,1.0,1,Single Frequency,45,Medium Revenue,2.9,High Promo Dependency,False
220,88,1,88.0,88,1,1.0,1.0,1,Single Frequency,88,Very High Revenue,3.0,High Promo Dependency,False
221,57,1,57.0,57,1,1.0,1.0,1,Single Frequency,57,Medium Revenue,3.7,High Promo Dependency,False
222,68,1,68.0,68,1,1.0,1.0,1,Single Frequency,68,High Revenue,4.4,High Promo Dependency,False
223,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,4.5,High Promo Dependency,False
224,41,1,41.0,41,1,1.0,1.0,1,Single Frequency,41,Medium Revenue,4.8,High Promo Dependency,False
225,83,1,83.0,83,1,1.0,1.0,1,Single Frequency,83,Very High Revenue,2.9,High Promo Dependency,False
226,22,1,22.0,22,1,1.0,1.0,1,Single Frequency,22,Low Revenue,3.2,High Promo Dependency,False
227,74,1,74.0,74,1,1.0,1.0,1,Single Frequency,74,High Revenue,3.3,High Promo Dependency,False
228,90,1,90.0,90,1,1.0,1.0,1,Single Frequency,90,Very High Revenue,4.2,High Promo Dependency,False
229,79,1,79.0,79,1,1.0,1.0,1,Single Frequency,79,High Revenue,2.9,High Promo Dependency,False
230,28,1,28.0,28,1,1.0,1.0,1,Single Frequency,28,Low Revenue,4.6,High Promo Dependency,False
231,88,1,88.0,88,1,1.0,1.0,1,Single Frequency,88,Very High Revenue,4.1,High Promo Dependency,False
232,26,1,26.0,26,1,1.0,1.0,1,Single Frequency,26,Low Revenue,3.1,High Promo Dependency,False
233,27,1,27.0,27,1,1.0,1.0,1,Single Frequency,27,Low Revenue,4.2,High Promo Dependency,False
234,83,1,83.0,83,1,1.0,1.0,1,Single Frequency,83,Very High Revenue,4.5,High Promo Dependency,False
235,39,1,39.0,39,1,1.0,1.0,1,Single Frequency,39,Low Revenue,3.7,High Promo Dependency,False
236,89,1,89.0,89,1,1.0,1.0,1,Single Frequency,89,Very High Revenue,3.7,High Promo Dependency,False
237,68,1,68.0,68,1,1.0,1.0,1,Single Frequency,68,High Revenue,3.4,High Promo Dependency,False
238,90,1,90.0,90,1,1.0,1.0,1,Single Frequency,90,Very High Revenue,3.0,High Promo Dependency,False
239,34,1,34.0,34,1,1.0,1.0,1,Single Frequency,34,Low Revenue,4.2,High Promo Dependency,False
240,51,1,51.0,51,1,1.0,1.0,1,Single Frequency,51,Medium Revenue,2.9,High Promo Dependency,False
241,45,1,45.0,45,1,1.0,1.0,1,Single Frequency,45,Medium Revenue,3.5,High Promo Dependency,False
242,88,1,88.0,88,1,1.0,1.0,1,Single Frequency,88,Very High Revenue,4.1,High Promo Dependency,False
243,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,4.3,High Promo Dependency,False
244,100,1,100.0,100,1,1.0,1.0,1,Single Frequency,100,Very High Revenue,2.8,High Promo Dependency,False
245,42,1,42.0,42,1,1.0,1.0,1,Single Frequency,42,Medium Revenue,4.9,High Promo Dependency,False
246,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,3.3,High Promo Dependency,False
247,86,1,86.0,86,1,1.0,1.0,1,Single Frequency,86,Very High Revenue,3.2,High Promo Dependency,False
248,66,1,66.0,66,1,1.0,1.0,1,Single Frequency,66,High Revenue,4.4,High Promo Dependency,False
